"","name","y","x","degree","in_degree","out_degree","strength","in_strength","out_strength","evcent","pagerank","auth_score","hub_score","betweenness","n.degree","n.strength","n.in_strength","n.out_strength","n.betweenness","n.evcent","n.pagerank","n.auth_score","n.hub_score"
"22","22",-30.550501,-71.705399,2,1,1,1.33333333333333,0.666666666666667,0.666666666666667,6.93889396979659e-18,0.0343121923949706,0,0,0,0.181818181818182,0.0083320258383473,0.00833071875358726,0.00833333333333333,0,6.93889396979659e-18,0.330957093560096,0,0
"23","23",-30.373501,-71.679703,5,2,3,13.1166111111111,6.5414477124183,6.57516339869281,0.000133451957235928,0.034534082567164,2.01589059328788e-05,0.000246745023527479,3,0.454545454545455,0.0819659570169983,0.0817424417001805,0.0821895424836601,0.09375,0.000133451957235928,0.333475016108489,2.01589059328788e-05,0.000246745023527479
"24","24",-30.3507,-71.682899,7,6,1,2.94918383849714,1.5185686739764,1.43061516452074,3.94010045001658e-09,0.0823727890081576,1.54748555945352e-08,2.7673200750574e-10,0,0.636363636363636,0.0184295069582958,0.018976152796358,0.0178826895565093,0,3.94010045001658e-09,0.876329872828941,1.54748555945352e-08,2.7673200750574e-10
"25","25",-29.991199,-71.388901,11,5,6,0.0738148372875888,0.0646101244746285,0.00920471281296024,1.58252912278474e-10,0.0127823045890971,5.55111512425373e-17,2.09665625078507e-13,0,1,0.000461270348650194,0.000807373163448593,0.000115058910162003,0,1.58252912278474e-10,0.0866443804962325,5.55111512425373e-17,2.09665625078507e-13
"26","26",-29.456699,-71.320396,3,2,1,24.3929105691057,12.1977886178862,12.1951219512195,6.24500457281693e-17,0.0350824530486253,0,6.93889413153649e-18,0,0.272727272727273,0.152431770850713,0.152424519586976,0.152439024390244,0,6.24500457281694e-17,0.339697709013252,0,6.93889413153649e-18
"27","27",-30.0912,-71.385498,4,4,0,0.00603514634802483,0.00603514634802483,0,4.13558080599877e-15,0.00699096632751326,0,0,0,0.363636363636364,3.77137464824627e-05,7.54156602932013e-05,0,0,4.13558080599877e-15,0.0209265478853209,0,0
"28","28",-29.4256,-71.311996,0,0,0,0,0,0,0,0.00514682885924559,6.93889390531716e-18,0,0,0,0,0,0,0,0,0,6.93889390531716e-18,0
"29","29",-28.440599,-71.206497,0,0,0,0,0,0,0,0.00514682885924559,6.93889390531716e-18,0,0,0,0,0,0,0,0,0,6.93889390531716e-18,0
"30","30",-30.489201,-71.696198,3,2,1,9.30753353973168,4.66357069143447,4.64396284829721,1.7362278446618e-08,0.0348957703309962,6.068119787745e-08,3.52251534644706e-09,0,0.272727272727273,0.0581629574582464,0.0582763437267196,0.0580495356037152,0,1.7362278446618e-08,0.337579306834971,6.068119787745e-08,3.52251534644706e-09
"31","31",-29.0891,-71.523201,7,5,2,0.644005602240896,0.386862745098039,0.257142857142857,0,0.02145337332127,0,0,16,0.636363636363636,0.00402440348843367,0.00483426708847873,0.00321428571428571,0.5,0,0.185040263754968,0,0
"32","32",-30.1096,-71.388397,2,2,0,0.0109190832553789,0.0109190832553789,0,5.05151481001192e-15,0.00620218065401784,0,0,0,0.181818181818182,6.82335628611615e-05,0.000136445717471348,0,0,5.05151481001192e-15,0.0119757177809021,0,0
"33","33",-29.569901,-71.3209,9,2,7,0.899333333333333,0.433333333333333,0.466,0,0.0237534792752056,0,0,8,0.818181818181818,0.00561995142796526,0.00541496718983172,0.005825,0.25,0,0.211140962978633,0,0
"34","34",-29.910601,-71.352203,2,2,0,0.675137554585153,0.675137554585153,0,2.22044607033491e-16,0.00967127517587395,0,0,0,0.181818181818182,0.00421894766193158,0.00843657163085037,0,0,2.22044607033491e-16,0.0513416402674297,0,0
"35","35",-29.7036,-71.331001,10,1,9,4.11877729257642,1.74672489082969,2.37205240174673,5.66768859452986e-14,0.0137586488008967,5.55111512425373e-17,0,0,0.909090909090909,0.0257383191181087,0.0218272107080889,0.0296506550218341,0,5.66768859452986e-14,0.0977235512480598,5.55111512425373e-17,0
"36","36",-29.9394,-71.3554,9,2,7,0.101973211689317,0.0252660086958654,0.0767072029934518,2.09221530977307e-13,0.00833048698612522,0,0,32,0.818181818181818,0.000637232575960988,0.000315726018706418,0.000958840037418148,1,2.09221530977307e-13,0.0361269023535547,0,0
"37","37",-29.9279,-71.355202,10,3,7,0.123161896428591,0.0928872397494398,0.0302746566791511,3.06976669223801e-14,0.00652625043381068,5.55111512425373e-17,1.20681246735683e-13,26,0.909090909090909,0.000769641077507155,0.00116072620522442,0.000378433208489388,0.8125,3.06976669223801e-14,0.0156531343952887,5.55111512425373e-17,1.20681246735683e-13
"38","38",-30.3799,-71.6819,0,0,0,0,0,0,0,0.00514682885924559,6.93889390531716e-18,0,0,0,0,0,0,0,0,0,6.93889390531716e-18,0
"39","39",-29.9771,-71.362396,0,0,0,0,0,0,0,0.00514682885924559,6.93889390531716e-18,0,0,0,0,0,0,0,0,0,6.93889390531716e-18,0
"40","40",-28.984301,-71.515297,2,2,0,0.0152958528544161,0.0152958528544161,0,0,0.00641817545379442,1.38777878106343e-17,0,0,0.181818181818182,9.5584080901915e-05,0.000191138172339593,0,0,0,0.0144267419579396,1.38777878106343e-17,0
